"Nom_Classe";"Nb_Methodes";"Nb_Attributs";"Lignes_de_Code";"WMC";"DIT";"CBO";"LCOM"
"NoteService";"20";"6";"205";"33";"0";"9";"0"
"BackupService";"17";"6";"246";"36";"1";"2";"40"
"AttachmentService";"13";"3";"188";"26";"1";"3";"14"
"SearchEngine";"11";"6";"297";"33";"1";"3";"0"
"NoteRepository";"9";"1";"43";"10";"1";"3";"0"
"Tag";"6";"1";"28";"7";"0";"0";"4"
"CLIController";"16";"1";"310";"44";"0";"6";"0"
"Note";"18";"6";"110";"22";"1";"6";"56"
"Attachment";"5";"9";"86";"11";"1";"2";"6"
"JsonStorage";"6";"1";"60";"11";"1";"3";"4"
"App";"3";"2";"27";"4";"0";"5";"1"
"NoteFactory";"3";"0";"18";"3";"0";"2";"3"
